Qualifications,Employment_Type,Age,City,State,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
SSC,AGR,47,Medak,AP,502110,Male,MO,59300,69.76,O,39000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,30,Gurbabadi,AP,503002,Male,MC,153839,84.99,O,25000,05 Urban,APACHE,APACHE 200 4V 2CH - R MODE BSVI,RTR 200CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,NREGI,24,Nizampet,AP,500090,Male,SC,77958,64.97,R,35000,04 Metro,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,44,Tandur,AP,501141,Male,SC,99921,84.68,O,25000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,41,Hunwada,AP,509334,Male,SC,96482,75.38,O,35000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,NREGI,24,Narayanpet Bazar,AP,509210,Male,SC,87180,73.88,O,50000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,44,Siddipet,AP,502103,Female,MC,85009,66.94,O,28000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,30,Kurupam,AP,535524,Male,MO,59931,74.46,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
SSC,STU,20,Irkode,AP,502114,Male,MC,98672,80.88,O,0,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
SSC,SEP,34,Narayanpet Bazar,AP,509210,Female,MC,70171,52.96,O,50000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,AGR,46,Cci Tandur,AP,501158,Male,MC,90425,74.12,O,40000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,37,Govt Dairy Farm,AP,530040,Male,MC,76925,82.36,O,32000,04 Metro,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
UG,SAL,19,Ambikapur,CG,497001,Female,EB,119665,70.96,O,35000,07 Rural,TVS,TVS IQUBE UG,EBIKE,NO_PAST_LOANS,APPROVED
GRAD,SAL,23,Jaggampeta,AP,533435,Male,MC,119469,58.04,O,35000,07 Rural,RONIN,TVS RONIN 2CH MID SPL BSVI,RONIN,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,44,Jalchak,WB,721155,Male,MC,136724,80.95,O,40000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,38,Jagadevpur,AP,502281,Female,MC,112978,85.26,O,40000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,25,Nitaipukhuri,AS,785671,Female,SC,97826,82.01,O,32800,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,33,Manikpur ,AS,783392,Male,MC,90801,84.86,O,35000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,NO_PAST_LOANS,APPROVED
SSC,AGR,24,Kodakandla,AP,502312,Male,MC,46591,38.19,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,39,Kurupam,AP,535524,Male,SC,108148,87.28,O,30000,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,27,Chariduar,AS,784103,Female,SC,66344,54.88,O,38000,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,29,Hamiltonganj,WB,735214,Female,SC,104326,83.8,O,25000,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,24,Ludhiana,PB,141001,Male,MC,98941,85.24,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SAL,24,Bebejia,AS,782142,Male,MC,86245,69.55,O,31100,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,NREGI,21,Barala,WB,742235,Male,SC,84517,66.26,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,AGR,52,Tamarhat,AS,783332,Male,MC,93649,73.62,O,27000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,SEP,34,Hamiltonganj,WB,735214,Female,SC,113391,89.64,O,25000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,AGR,21,Mekhliganj,WB,735304,Male,MC,87000,46.2,O,30000,07 Rural,RONIN,TVS RONIN 1CH BASE BSVI,RONIN,NO_PAST_LOANS,APPROVED
SSC,SEP,31,Jagraon,PB,142026,Male,SC,95750,89.24,O,35000,06 Semi-Urban,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,36,Nilam Bazar,AS,788722,Male,MO,57074,69.98,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,29,Napur,AS,782402,Female,SC,111788,94.41,O,40000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,56,Dowlaiswaram,AP,533125,Male,SC,99209,83.07,O,28000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,29,Araimile,ML,794101,Female,SC,98499,79.9,O,25000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,SAL,31,Derby,AS,788112,Male,MC,107839,85.22,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,47,Dokmaka,AS,782441,Male,MC,87700,83.52,O,38000,07 Rural,RADEON,TVS RADEON BSVI DIGI DISC DUAL TONE,RADEON,NO_PAST_LOANS,APPROVED
HSC,AGR,21,Bwraguri,AS,783336,Male,MC,87778,71.95,O,30000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SEP,20,Indas,WB,722205,Male,MC,78500,61.52,O,32000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SAL,48,Golaghat,AS,785621,Male,MO,77447,94.97,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
SSC,AGR,33,Galsi,WB,713406,Male,MC,140000,88.23,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
HSC,AGR,34,Patrasayer,WB,722206,Male,MC,50300,53.52,O,32000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
OTHERS,SAL,23,Burnpur Mkt,WB,713325,Male,MC,92533,55.13,O,25000,05 Urban,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,26,Keshpur,WB,721150,Male,MO,48700,60.72,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,38,Joypur,WB,722138,Male,MO,66953,83.48,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,20,Santaldih,WB,723145,Male,MC,105756,68.23,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
HSC,SEP,23,Dobasipara,ML,794005,Female,SC,103975,84,O,25000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,SEP,24,,WB,734124,Male,SC,77999,62.77,O,30000,,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,35,Plassey,WB,741156,Male,SC,106708,82.26,O,30000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,59,Bartala,WB,700018,Male,SC,78308,75.21,O,25000,02 Megapolis (B),JUPITER,JUPITER ZX BSVI – ZX DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,34,Dumdum,WB,700028,Male,MC,67160,81.54,O,20000,05 Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,48,Sheoraphuli,WB,712223,Male,MC,75140,61.29,O,40000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,35,Nasra,WB,741202,Female,SC,98672,84.34,O,18000,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
SSC,SEP,31,Muragachha,WB,741154,Male,MC,53117,52.75,O,30100,07 Rural,RADEON,TVS RADEON BSVI DIGI DRUM DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,54,Joania Bhaluka,WB,741317,Female,SC,116318,89.67,O,29500,06 Semi-Urban,NTORQ,NTORQ 125 XT BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,SEP,25,Khanakul,WB,712406,Male,MC,131603,86.58,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,46,Dindigul Collectorate,TN,624004,Male,MO,69726,88.15,O,35000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,64,Vadipatti,TN,625218,Male,MO,73000,88.06,O,20000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,62,Vadipatti,TN,625218,Male,MO,71500,86.25,O,30000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,62,Karupatti,TN,625205,Male,MO,65700,79.05,O,28000,07 Rural,MOPEDS,TVS XL 100 COM ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,31,Sanaveli,TN,623538,Female,SC,114811,91.47,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,48,Mudukulathur,TN,623704,Male,MO,73110,92.43,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,57,Okkur,TN,630557,Male,MC,131925,75.9,O,45000,06 Semi-Urban,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,35,Vadipatti,TN,625218,Male,MO,73262,88.38,O,25000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,34,Periyakulam East,TN,625604,Male,SC,120416,91.32,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,DECLINED
HSC,NREGI,48,Balakrishnapurampudur,TN,624005,Male,SC,93624,74.6,O,35000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,59,Vadipatti,TN,625218,Male,SC,86856,86.97,O,20000,06 Semi-Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,51,Ammayanaickanur,TN,624201,Male,MC,80591,90.69,O,35000,06 Semi-Urban,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
OTHERS,AGR,38,Kamatchipuram,TN,625520,Female,MO,75500,91.07,O,38000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
UG,SAL,24,Idaikattur,TN,630602,Female,SC,132616,91.78,O,35000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,38,Ammayanaickanur,TN,624201,Male,MC,124705,90.37,O,25000,06 Semi-Urban,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SEP,28,Nabagram Oghly,WB,712246,Male,MC,76165,64.43,O,41000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,39,Charanpur,WB,713330,Male,MC,107385,68.62,O,30000,05 Urban,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
HSC,SEP,21,Khanakul,WB,712406,Male,MC,134935,90.68,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
GRAD,SEP,47,Bethuadahari,WB,741126,Male,MC,54520,45.43,O,45000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,21,Narkeldanga,WB,700011,Male,MC,107845,89.13,O,35000,02 Megapolis (B),RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,STU,18,Bishnupur Uth 24 Parganas,WB,743503,Male,SC,77129,63.74,O,,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,NREGI,20,Fulia Colony,WB,741402,Male,MC,52000,43.7,O,20000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SAL,21,Sayalgudi,TN,623120,Male,MC,118794,87.51,O,25000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SEP,29,Behala Municipal Market,WB,700034,Female,SC,73229,78.74,O,40000,02 Megapolis (B),ZEST,SCOOTY ZEST - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,30,Marripadu,AP,524312,Male,MO,69652,86.42,O,36500,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,AGR,58,Tokapalle,AP,523320,Male,MO,49655,61.57,O,25000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,40,Nellore,AP,524001,Female,SC,107450,86.31,O,38000,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,35,Ongole,AP,523001,Male,SC,106892,80.08,O,45000,05 Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,37,Duvvur ,AP,524306,Male,MC,75803,86.63,O,20000,06 Semi-Urban,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
OTHERS,AGR,38,Tlagudur,AP,523110,Female,MO,70301,83.39,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,29,Dachur,AP,524342,Male,MC,76041,86.9,O,65000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,37,Muthukur,AP,524344,Male,SC,113352,84.92,O,29000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,53,Vinjamur,AP,524228,Male,MC,74299,84.91,O,82000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,55,Nandipadu,AP,524230,Male,MO,56140,66.56,O,41255,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
UG,SAL,21,Darsi,AP,523247,Male,MC,105689,82.18,O,25000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SEP,48,Allur,AP,524315,Male,MO,77597,92,O,32000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,39,Gudur,AP,524101,Female,SC,84882,84.81,O,36800,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
OTHERS,SAL,49,Pulicotnagar,AP,524121,Female,SC,91843,91.84,O,29000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,30,Masila Project,AP,524301,Male,MC,113353,84.11,O,42600,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,29,Kamepalli,AP,523271,Male,MC,106734,83,O,25000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
SSC,SEP,45,N.G.Padu,AP,523183,Male,SC,104176,86.17,O,41255,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
